Front;Back
feel;чувствовать
feeling;ощущение, чувство
future;будущее
happy;счастливый, довольный
happiness;счастье, радость
hard;трудный, тяжелый
husband;муж
improve;улучшать, совершенствовать
manager;менеджер, управляющий
manage;руководить, управлять
online;онлайн
opportunity;удобный случай, возможность
space;пространство
toy;игрушка
wife;жена
basement;подвал, цокольный этаж, фундамент
battery;батарейка
flat/dead battery;разряженная батарея
recharge battery;зарядить батарею
battery life;срок службы батареи
changing room;примерочная, раздевалка
entrance;вход, подъезд
farm;ферма
farmer;фермер
farming;фермерство
foreign;иностранный
foreigner;иностранец
furniture;мебель
go down;спускаться, понижаться
go in;входить
go out;выходить, выходить в свет
ground;земля, почва
guard;охрана
half;половина
information;информация
item;предмет
main;главный, основной
perfume;духи
profit;прибыль, выгода
security;безопасность
skirt;юбка
till;касса
trousers;брюки
try on;примерять (одежду)
unusual;необычный
war;война
worker;работник
work;работа, работать
