Front;Back
begin with;для начала
dream;сон, мечта
of my dreams;моей мечты
dream of doing smth;мечтать что-то сделать
immediately;немедленно, сразу
influence on smn;влияние на кого-то
influence over smn;влияние над кем-то
earn/make a living;зарабатывать на жизнь
do smth for a living;зарабатывать чем-то на жизнь
be on;идти (о фильме, спектакле)
seriously;серьезно
take smth seriously;воспринимать что-то всерьёз
at first sight;с первого взгляда
at the sight of smth;при виде чего-то
underground;метро
break your word;нарушить своё слово
break a contract;разорвать контракт
be careful;быть осторожным
careful about smth;осторожный в чем-то
carelessly;беспечно
honest;честный
honesty;честность
dishonest;нечестный
leg go of smth;отпустить, выпустить (из рук)
line;линия
in memory of;в память о
poem;стихотворение, поэма
remain;оставаться
threat;угроза
threaten;угрожать
be in trouble;быть в беде
have trouble with smth;иметь неприятности с чем-то
have trouble doing smth;иметь неприятности делая что-то
cover with smth;накрыть чем-либо
covering;оболочка, покрытие
ground;земля, почва
machine;машина, механизм
pipe;труба
soft;мягкий
