Front;Back
limit;предел, граница
lock;запирать на замок
good memory;хорошая память
bad memory for;плохая память на
negotiate smth with smb;вести переговоры о чем-то с кем-то
negotiation;переговоры
pick up;подбирать, забирать
route;маршрут, путь
run;бежать
solution to smth;решение чего-либо
translate from smth into smth;переводить с чего-то на что-то
transport;транспорт, перевозить
atmosphere;атмосфера
favourite;любимый
prefer smth to smth;предпочитать что-то чему-то
rate;тариф, расценка
seafood;морепродукты
wide selection of smth;широкий выбор чего-то
value;ценность
magic;магия
perform;выступать
performance;выступление
thief;вор
worth;стоящий
worth doing smth;стоит что-то сделать
further;дальше
driver;водитель
have difficulty with smth;испытывать трудности с чем-то
have difficulty doing smth;испытывать трудности с чем-то
parking;парковка
cyclist;велосипедист
swimming pool;бассейн
voter;избиратель
