Front;Back
cut;резать
dishes;посуда
family;семья
flat;Квартира
forget about;забывать о
fridge;холодильник
keep;хранить, держать
lie on;лежать на
look at;смотреть на
lovely;прекрасный, красивый
make;готовить
mess;беспорядок
mirror;зеркало
mountain;гора
put;класть, ставить
retired;на пенсии, пенсионер
room;комната
set;устанавливать, настраивать
sink;раковина
sofa;диван
spend;тратить, проводить
study;кабинет
table;стол
take;занимать (время)
talk to;разговаривать с
teeth;зубы
tidy;аккуратный, опрятный
towel;полотенце
turn;очередь, поворот
vegetable;овощ
village;деревня
air conditioning;кондиционер
back;назад
board;доска
break;ломать
come;приходить
concentrate on;сосредотачиваться на
dog;собака
fill;наполнять, заполнять
find;находить
go off;зазвонить, сработать
hand;рука (кисть)
help with;помогать с
key;ключ
moment;момент
move;двигаться, двигать
near;рядом
plate;тарелка
temperature;температура
turn up;прибавить (звук)
wait for;ждать что-либо
look for;искать
make a mess;устроить беспорядок
look in a mirror;посмотреть в зеркало
take turns;делать по очереди
at the moment;в данный момент
