Front;Back
no chance;без шансов
chance of doing smth;шанс сделать что-либо
in good condition;в хорошем состоянии
in bad condition;в плохом состоянии
connection;связь, соединение
convenient for smth;удобный для чего-либо
convenience;удобство, комфорт
couple;пара
earth;земля
on the edge of smth;на грани чего-то
edge;край
escape from;сбежать из
make escape;совершить побег
flat;плоский, ровный
hill;холм
limited;ограниченный, лимитированный
natural;естественный
artificial;искусственный
perfect;совершенный
pig;свинья
programme;передача, программа
scenery;пейзаж, вид
violent;жестокий
disease;болезнь
rat;крыса
work;работать
keep;держать, хранить
